StreetAddress,City,State,ZipCode,AUTO_UNIQUE_ID_2024-05-08_Charissa-Roeuiowaedu_Addresses,TransactionId,TimeTaken,Source,Version,UpdatedGeocoding,ErrorMessage,Latitude,Longitude,MatchType,FeatureMatchingGeographyType,MicroMatchStatus,MatchScore,GeocodeQualityType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,PenaltyCode,PenaltyCodeSummary,InterpolationType,InterpolationSubType,MatchedLocationType,FeatureMatchingResultType,FeatureMatchingResultCount,FeatureMatchingResultTypeNotes,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,OutputGeocodes,MNumber,MNumberFractional,MPreDirectional,MPreQualifier,MPreType,MPreArticle,MName,MPostArticle,MSuffix,MPostQualifier,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,PNumber,PNumberFractional,PPreDirectional,PPreQualifier,PPreType,PPreArticle,PName,PPostArticle,PSuffix,PPostQualifier,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5
1601 PLAZA PLACE,MUSCATINE,IA,52761,1033,dff40759-9db6-4d87-a200-1ab79c9bcc23,0.0937419,TAMUGeocoder,5.0.0,1,,41.4430336826353,-91.0289238588247,,StreetSegment,Match,100,,4122.29,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1601,,,,,,PLAZA,,PL,,,,,,,MUSCATINE,,,,,IA,52761,,,,,,1601,,,,,,PLAZA,,PL,,,,,,,MUSCATINE,,,,,IA,52761,,,,,
1403 PARK AVE,MUSCATINE,IA,52761,1034,5f7408e7-76d0-4c98-ae56-a3c32ef43690,0.0265774,TAMUGeocoder,5.0.0,1,,41.4406461539557,-91.0305960818507,,StreetSegment,Match,100,,1400.55,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1403,,,,,,PARK,,AVE,,,,,,,MUSCATINE,,,,,IA,52761,,,,,,1403,,,,,,PARK,,AVE,,,,,,,MUSCATINE,,,,,IA,52761,,,,,
306 W 3RD STREET,CONESVILLE,IA,52739,1035,7a14997e-355d-42d1-b2c7-ca687af36387,0.0624972,TAMUGeocoder,5.0.0,1,,41.3819081110935,-91.3489828448243,,StreetSegment,Match,97.9289940828402,,2040.52,Meters,03,StreetSegmentInterpolation,MMMMMM7MMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},306,,W,,,,3RD,,ST,,,,,,,CONESVILLE,,,,,IA,52739,,,,,,306,,W,,,,3RD,,ST,,,,,,,CONESVILLE,,,,,IA,52739,,,,,
429 IJEM AVENUE,NICHOLS,IA,52766,1036,023cd049-0c3b-4290-a714-85703f2cb074,0.0312564,TAMUGeocoder,5.0.0,1,,41.4811872336465,-91.309020176444,,StreetSegment,Match,100,,1002.24,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},429,,,,,,IJEM,,AVE,,,,,,,NICHOLS,,,,,IA,52766,,,,,,429,,,,,,IJEM,,AVE,,,,,,,NICHOLS,,,,,IA,52766,,,,,
3455 NEW ERA ROAD,MUSCATINE,IA,52761,1037,c64f75f5-e01b-4b2a-b74d-138cd52e95b2,0.288991,TAMUGeocoder,5.0.0,1,,41.4661443804062,-90.8962229312272,,StreetSegment,Review,98.9940828402367,,8624.7,Meters,03,StreetSegmentInterpolation,MMMM32MMMFFFFE,MMMMRMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},3455,,,,,,NEW ERA,,RD,,,,,,,MUSCATINE,,,,,IA,52761,,,,,,3455,,,,,,NEW ERA,,RD,,,,,,,MUSCATINE,,,,,IA,52761,,,,,
1215 CYPRESS ST,WILTON,IA,52778,1038,9fb42158-2595-45a0-aacc-2af74bdc24c5,0.0625008,TAMUGeocoder,5.0.0,1,,41.5966911616268,-91.0113412014064,,StreetSegment,Match,100,,3304.61,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1215,,,,,,CYPRESS,,ST,,,,,,,WILTON,,,,,IA,52778,,,,,,1215,,,,,,CYPRESS,,ST,,,,,,,WILTON,,,,,IA,52778,,,,,
1204 N CALHOUN ST,WEST LIBERTY,IA,52776,1039,6fbd9342-fe06-4329-8d7b-d29c8299f2c6,0.0309482,TAMUGeocoder,5.0.0,1,,41.5800060264371,-91.2635673136235,,StreetSegment,Match,100,,5503.34,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1204,,N,,,,CALHOUN,,ST,,,,,,,WEST LIBERTY,,,,,IA,52776,,,,,,1204,,N,,,,CALHOUN,,ST,,,,,,,WEST LIBERTY,,,,,IA,52776,,,,,
1204 N CALHOUN ST,WEST LIBERTY,IA,52776,1040,f0da9769-14cf-4f1b-80a8-286090a70c9d,0.0312497,TAMUGeocoder,5.0.0,1,,41.5800060264371,-91.2635673136235,,StreetSegment,Match,100,,5503.34,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1204,,N,,,,CALHOUN,,ST,,,,,,,WEST LIBERTY,,,,,IA,52776,,,,,,1204,,N,,,,CALHOUN,,ST,,,,,,,WEST LIBERTY,,,,,IA,52776,,,,,
1215 CYPRESS ST,WILTON,IA,52778,1041,3f6678ac-187b-4fb2-9b65-2a37fb7ca154,0.0312607,TAMUGeocoder,5.0.0,1,,41.5966911616268,-91.0113412014064,,StreetSegment,Match,100,,3304.61,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1215,,,,,,CYPRESS,,ST,,,,,,,WILTON,,,,,IA,52778,,,,,,1215,,,,,,CYPRESS,,ST,,,,,,,WILTON,,,,,IA,52778,,,,,
301 34TH AVE,SHELDON,IA,51201,1042,32493280-9f74-4caf-9564-0555dde2c9b7,0.5325337,TAMUGeocoder,5.0.0,1,,43.1833448408422,-95.8657835872963,,ZCTA,Match,100,,295807227.47,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFF7,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},301,,,,,,34TH,,AVE,,,,,,,SHELDON,,,,,IA,51201,,,,,,301,,,,,,34TH,,AVE,,,,,,,SHELDON,,,,,IA,51201,,,,,
225 MAIN ST,SANBORN,IA,51248,1043,4e6b61a6-624c-4742-b39d-d469002160cf,0.0468704,TAMUGeocoder,5.0.0,1,,43.1818118964446,-95.6557961646737,,StreetSegment,Match,100,,2578.67,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},225,,,,,,MAIN,,ST,,,,,,,SANBORN,,,,,IA,51248,,,,,,225,,,,,,MAIN,,ST,,,,,,,SANBORN,,,,,IA,51248,,,,,
820 2ND ST NE,HARTLEY,IA,51346,1044,390682a0-7d9d-4424-963e-fb4a5a7bacef,0.0937327,TAMUGeocoder,5.0.0,1,,43.1837307423499,-95.4685702692255,,StreetSegment,Match,100,,1453.85,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},820,,,,,,2ND,,ST,,NE,,,,,HARTLEY,,,,,IA,51346,,,,,,820,,,,,,2ND,,ST,,NE,,,,,HARTLEY,,,,,IA,51346,,,,,
301 34TH AVE,SHELDON,IA,51201,1045,3ba0e588-64ae-42c2-bc31-d12062dd4aaa,0.3150615,TAMUGeocoder,5.0.0,1,,43.1833448408422,-95.8657835872963,,ZCTA,Match,100,,295807227.47,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFF7,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},301,,,,,,34TH,,AVE,,,,,,,SHELDON,,,,,IA,51201,,,,,,301,,,,,,34TH,,AVE,,,,,,,SHELDON,,,,,IA,51201,,,,,
301 34TH AVE,SHELDON,IA,51201,1046,4fa50efa-8439-46bb-8949-6182c18054fd,0.3246327,TAMUGeocoder,5.0.0,1,,43.1833448408422,-95.8657835872963,,ZCTA,Match,100,,295807227.47,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFF7,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},301,,,,,,34TH,,AVE,,,,,,,SHELDON,,,,,IA,51201,,,,,,301,,,,,,34TH,,AVE,,,,,,,SHELDON,,,,,IA,51201,,,,,
301 34TH AVE,SHELDON,IA,51201,1047,fbd106bb-ab4f-4901-b362-b90888c230b0,0.3137733,TAMUGeocoder,5.0.0,1,,43.1833448408422,-95.8657835872963,,ZCTA,Match,100,,295807227.47,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFF7,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},301,,,,,,34TH,,AVE,,,,,,,SHELDON,,,,,IA,51201,,,,,,301,,,,,,34TH,,AVE,,,,,,,SHELDON,,,,,IA,51201,,,,,
215 1ST ST SE,PRIMGHAR,IA,51245,1048,94015944-774b-435b-9812-cdc02a6c7d0c,0.031205,TAMUGeocoder,5.0.0,1,,43.0862926987174,-95.6244972961729,,StreetSegment,Match,100,,4600.94,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},215,,,,,,1ST,,ST,,SE,,,,,PRIMGHAR,,,,,IA,51245,,,,,,215,,,,,,1ST,,ST,,SE,,,,,PRIMGHAR,,,,,IA,51245,,,,,
127 S MAIN ST,PAULLINA,IA,51046,1049,c7eab32b-8c0e-4f8f-85b3-91680413cfbd,0.0625104,TAMUGeocoder,5.0.0,1,,42.9779352731802,-95.6876507564,,StreetSegment,Match,100,,3339.41,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},127,,S,,,,MAIN,,ST,,,,,,,PAULLINA,,,,,IA,51046,,,,,,127,,S,,,,MAIN,,ST,,,,,,,PAULLINA,,,,,IA,51046,,,,,
110 ASH ST,SUTHERLAND,IA,51058,1050,3e81873b-a3a6-4a88-8f2b-2fed61ddfbaa,0.0762008,TAMUGeocoder,5.0.0,1,,42.974390378849,-95.4992324478977,,StreetSegment,Match,100,,1347.27,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},110,,,,,,ASH,,ST,,,,,,,SUTHERLAND,,,,,IA,51058,,,,,,110,,,,,,ASH,,ST,,,,,,,SUTHERLAND,,,,,IA,51058,,,,,
321 3RD ST.,ASHTON,IA,51232,1051,a255ee2f-1011-4726-9cf3-eb8bead562e3,0.1108619,TAMUGeocoder,5.0.0,1,,43.3114762116864,-95.7920078698551,,StreetSegment,Match,100,,2810.37,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},321,,,,,,3RD,,ST,,,,,,,ASHTON,,,,,IA,51232,,,,,,321,,,,,,3RD,,ST,,,,,,,ASHTON,,,,,IA,51232,,,,,
122 MAIN ST S,HARRIS,IA,51345,1052,72c1d02f-2821-4d8b-b46a-a1d234db1373,0.0319117,TAMUGeocoder,5.0.0,1,,43.4443515509913,-95.4338006949975,,StreetSegment,Match,99.3491124260355,,2429.58,Meters,03,StreetSegmentInterpolation,MMMMMMBMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},122,,,,,,MAIN,,ST,,S,,,,,HARRIS,,,,,IA,51345,,,,,,122,,,,,,MAIN,,ST,,S,,,,,HARRIS,,,,,IA,51345,,,,,
6656 FREDERICK AVE,MAY CITY,IA,51349,1053,d60fce53-85ff-4f27-91da-90626a6f60df,0.1562504,TAMUGeocoder,5.0.0,1,,43.3172510102099,-95.472419448641,,ZCTA,Match,100,,704345.06,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFF1,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},6656,,,,,,FREDERICK,,AVE,,,,,,,MAY CITY,,,,,IA,51349,,,,,,6656,,,,,,FREDERICK,,AVE,,,,,,,MAY CITY,,,,,IA,51349,,,,,
225 MAIN ST.,MELVIN,IA,51350,1054,84f73fef-a8b7-4f55-9daf-b86945a9f3c6,0.0161752,TAMUGeocoder,5.0.0,1,,43.2871767494759,-95.6097263210412,,StreetSegment,Match,100,,2607.74,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},225,,,,,,MAIN,,ST,,,,,,,MELVIN,,,,,IA,51350,,,,,,225,,,,,,MAIN,,ST,,,,,,,MELVIN,,,,,IA,51350,,,,,
612 8TH STREET,SIBLEY,IA,51249,1055,f17bb6b1-1be6-4926-865c-7add582756e6,0.0624955,TAMUGeocoder,5.0.0,1,,43.4000554139299,-95.7448927411162,,StreetSegment,Match,100,,2575.64,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},612,,,,,,8TH,,ST,,,,,,,SIBLEY,,,,,IA,51249,,,,,,612,,,,,,8TH,,ST,,,,,,,SIBLEY,,,,,IA,51249,,,,,
612 8TH STREET,SIBLEY,IA,51249,1056,9777e221-76f8-45e8-9e6f-810f25f63554,0.0312485,TAMUGeocoder,5.0.0,1,,43.4000554139299,-95.7448927411162,,StreetSegment,Match,100,,2575.64,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},612,,,,,,8TH,,ST,,,,,,,SIBLEY,,,,,IA,51249,,,,,,612,,,,,,8TH,,ST,,,,,,,SIBLEY,,,,,IA,51249,,,,,
700 11TH AVE NE,SIBLEY,IA,51249,1057,32303200-c971-4e2e-afe6-474e7b9f8389,0.1093747,TAMUGeocoder,5.0.0,1,,43.3952112560301,-95.7374589605405,,StreetSegment,Match,98.8165680473373,,4029.25,Meters,03,StreetSegmentInterpolation,MMMMMM4MMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},700,,,,,,11TH,,AVE,,NE,,,,,SIBLEY,,,,,IA,51249,,,,,,700,,,,,,11TH,,AVE,,NE,,,,,SIBLEY,,,,,IA,51249,,,,,
869 MAIN ST,OCHEYEDAN,IA,51354,1058,b7c4e9ae-36d9-4b7b-b586-eda20b30736f,0.0781263,TAMUGeocoder,5.0.0,1,,43.4140600026413,-95.5349540425305,,StreetSegment,Match,100,,2512.97,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},869,,,,,,MAIN,,ST,,,,,,,OCHEYEDAN,,,,,IA,51354,,,,,,869,,,,,,MAIN,,ST,,,,,,,OCHEYEDAN,,,,,IA,51354,,,,,
100 E GARFIELD ST,CLARINDA,IA,51632,1059,2b96a47e-8c9f-40b5-b6fc-b99496c0a476,0.0624939,TAMUGeocoder,5.0.0,1,,40.7351439944399,-95.0378628394518,,StreetSegment,Match,100,,2643.79,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},100,,E,,,,GARFIELD,,ST,,,,,,,CLARINDA,,,,,IA,51632,,,,,,100,,E,,,,GARFIELD,,ST,,,,,,,CLARINDA,,,,,IA,51632,,,,,
100 E GARFIELD ST,CLARINDA,IA,51632,1060,d080553c-ac55-4f15-a46c-a9b6356ec696,0.0468718,TAMUGeocoder,5.0.0,1,,40.7351439944399,-95.0378628394518,,StreetSegment,Match,100,,2643.79,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},100,,E,,,,GARFIELD,,ST,,,,,,,CLARINDA,,,,,IA,51632,,,,,,100,,E,,,,GARFIELD,,ST,,,,,,,CLARINDA,,,,,IA,51632,,,,,
100 E GARFIELD ST,CLARINDA,IA,51632,1061,5952d135-4857-4173-b5c2-0a7fc73fb5f3,0.0312471,TAMUGeocoder,5.0.0,1,,40.7351439944399,-95.0378628394518,,StreetSegment,Match,100,,2643.79,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},100,,E,,,,GARFIELD,,ST,,,,,,,CLARINDA,,,,,IA,51632,,,,,,100,,E,,,,GARFIELD,,ST,,,,,,,CLARINDA,,,,,IA,51632,,,,,
100 MAPLE ST,SHENANDOAH,IA,51601,1062,f5f72cb4-e63d-4c3a-bb32-8096ca440e89,0.0312329,TAMUGeocoder,5.0.0,1,,40.7650462936833,-95.3751721643282,,StreetSegment,Match,100,,2418.15,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},100,,,,,,MAPLE,,ST,,,,,,,SHENANDOAH,,,,,IA,51601,,,,,,100,,,,,,MAPLE,,ST,,,,,,,SHENANDOAH,,,,,IA,51601,,,,,
412 IOWA AVE,ESSEX,IA,51638,1063,2e576a98-9c9f-44b9-a4b2-e674f6d20e1f,0.0312777,TAMUGeocoder,5.0.0,1,,40.8334027233471,-95.3078252299358,,StreetSegment,Match,100,,1368.38,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},412,,,,,,IOWA,,AVE,,,,,,,ESSEX,,,,,IA,51638,,,,,,412,,,,,,IOWA,,AVE,,,,,,,ESSEX,,,,,IA,51638,,,,,
100 MAPLE ST,SHENANDOAH,IA,51601,1064,4fdd4ca9-d1e4-4a99-8a86-ab724bc20ac0,0.0468734,TAMUGeocoder,5.0.0,1,,40.7650462936833,-95.3751721643282,,StreetSegment,Match,100,,2418.15,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},100,,,,,,MAPLE,,ST,,,,,,,SHENANDOAH,,,,,IA,51601,,,,,,100,,,,,,MAPLE,,ST,,,,,,,SHENANDOAH,,,,,IA,51601,,,,,
100 MAPLE ST,SHENANDOAH,IA,51601,1065,59837b17-4be0-47ba-b014-d00273270b49,0.0468732,TAMUGeocoder,5.0.0,1,,40.7650462936833,-95.3751721643282,,StreetSegment,Match,100,,2418.15,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},100,,,,,,MAPLE,,ST,,,,,,,SHENANDOAH,,,,,IA,51601,,,,,,100,,,,,,MAPLE,,ST,,,,,,,SHENANDOAH,,,,,IA,51601,,,,,
100 MAPLE ST,SHENANDOAH,IA,51601,1066,7dbfa288-7e8c-4a23-8bdb-68b3aafbeab6,0.0529573,TAMUGeocoder,5.0.0,1,,40.7650462936833,-95.3751721643282,,StreetSegment,Match,100,,2418.15,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},100,,,,,,MAPLE,,ST,,,,,,,SHENANDOAH,,,,,IA,51601,,,,,,100,,,,,,MAPLE,,ST,,,,,,,SHENANDOAH,,,,,IA,51601,,,,,
1302 BROADWAY,EMMETSBURG,IA,50536,1067,7fa07a4d-4d3f-4a84-bd78-27aa5265a8d8,0.5803862,TAMUGeocoder,5.0.0,1,,43.1174111091193,-94.7015470171632,,ZCTA,Match,100,,370234333.38,Meters,09,AddressZIPCentroid,MMMM3FMMMMFFFA,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1302,,,,,,BROADWAY,,,,,,,,,EMMETSBURG,,,,,IA,50536,,,,,,1302,,,,,,BROADWAY,,,,,,,,,EMMETSBURG,,,,,IA,50536,,,,,
1302 BROADWAY,EMMETSBURG,IA,50536,1068,3db9961e-03ad-4559-803c-903afbd55052,0.3941039,TAMUGeocoder,5.0.0,1,,43.1174111091193,-94.7015470171632,,ZCTA,Match,100,,370234333.38,Meters,09,AddressZIPCentroid,MMMM3FMMMMFFFA,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1302,,,,,,BROADWAY,,,,,,,,,EMMETSBURG,,,,,IA,50536,,,,,,1302,,,,,,BROADWAY,,,,,,,,,EMMETSBURG,,,,,IA,50536,,,,,
1302 BROADWAY,EMMETSBURG,IA,50536,1069,9d9e5e7c-bc4b-4a2f-b8d2-745561ef4164,0.4351034,TAMUGeocoder,5.0.0,1,,43.1174111091193,-94.7015470171632,,ZCTA,Match,100,,370234333.38,Meters,09,AddressZIPCentroid,MMMM3FMMMMFFFA,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1302,,,,,,BROADWAY,,,,,,,,,EMMETSBURG,,,,,IA,50536,,,,,,1302,,,,,,BROADWAY,,,,,,,,,EMMETSBURG,,,,,IA,50536,,,,,
1302 BROADWAY,EMMETSBURG,IA,50536,1070,f7f75eec-b351-4f14-b0f0-091842ee0ef9,0.3906221,TAMUGeocoder,5.0.0,1,,43.1174111091193,-94.7015470171632,,ZCTA,Match,100,,370234333.38,Meters,09,AddressZIPCentroid,MMMM3FMMMMFFFA,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1302,,,,,,BROADWAY,,,,,,,,,EMMETSBURG,,,,,IA,50536,,,,,,1302,,,,,,BROADWAY,,,,,,,,,EMMETSBURG,,,,,IA,50536,,,,,
115 W ROBINS ST,GRAETTINGER,IA,51342,1071,30c671b5-ada2-43fc-afa4-bd73506121a7,0.7974795,TAMUGeocoder,5.0.0,1,,43.2378272798958,-94.7507066615781,,StreetSegment,Match,97.9289940828402,,2311.11,Meters,03,StreetSegmentInterpolation,MMMMMF7MMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},115,,W,,,,ROBINS,,ST,,,,,,,GRAETTINGER,,,,,IA,51342,,,,,,115,,W,,,,ROBINS,,ST,,,,,,,GRAETTINGER,,,,,IA,51342,,,,,
316 S BROADWAY,WEST BEND,IA,50597,1072,5cec6593-1f13-4af4-ad65-bd34a50dcb0e,0.4687673,TAMUGeocoder,5.0.0,1,,42.9570917472602,-94.445103366428,,StreetSegment,Match,97.0414201183432,,2342.58,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},316,,S,,,,BROADWAY,,,,,,,,,WEST BEND,,,,,IA,50597,,,,,,316,,S,,,,BROADWAY,,,,,,,,,WEST BEND,,,,,IA,50597,,,,,
350 REED ST,AKRON,IA,51001,1073,cbb6513c-636a-4272-9d75-c069449ed3f7,0.0625036,TAMUGeocoder,5.0.0,1,,42.8286884937318,-96.5576567526628,,StreetSegment,Match,100,,2380.81,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},350,,,,,,REED,,ST,,,,,,,AKRON,,,,,IA,51001,,,,,,350,,,,,,REED,,ST,,,,,,,AKRON,,,,,IA,51001,,,,,
305 OAK ST,BRUNSVILLE,IA,51008,1074,4dff66d6-39de-4508-a3b5-a6cb7247c924,0.6044195,TAMUGeocoder,5.0.0,1,,42.8109310718301,-96.2666990832526,,ZCTA,Match,100,,649525.54,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFFB,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},305,,,,,,OAK,,ST,,,,,,,BRUNSVILLE,,,,,IA,51008,,,,,,305,,,,,,OAK,,ST,,,,,,,BRUNSVILLE,,,,,IA,51008,,,,,
